Temperature,Year,Month
-31.9,1979,1
-45.9,1979,2 
-60.5,1979,3 
-62.2,1979,4 
-69.4,1979,5 
-69.4,1979,6 
-72.3,1979,7 
-68.3,1979,8 
-67.7,1979,9 
-61.2,1979,10
-43.9,1979,11
-31.0,1979,12
-30.0,1980,1 
-43.3,1980,2 
-54.5,1980,3 
-61.8,1980,4 
-65.3,1980,5 
-61.7,1980,6 
-64.6,1980,7 
-61.9,1980,8 
-62.9,1980,9 
-58.0,1980,10
-42.5,1980,11
-31.7,1980,12
-33.2,1981,1 
-44.9,1981,2 
-56.6,1981,3 
-66.7,1981,4 
-69.5,1981,5 
-66.4,1981,6 
-63.0,1981,7 
-60.7,1981,8 
-61.4,1981,9 
-58.8,1981,10
-44.2,1981,11
-31.5,1981,12
-32.6,1982,1 
-44.4,1982,2 
-63.9,1982,3 
-65.3,1982,4 
-63.7,1982,5 
     ,1982,6 
-63.2,1982,7 
-72.4,1982,8 
-71.3,1982,9 
-57.3,1982,10
-38.8,1982,11
-31.2,1982,12
-31.5,1983,1 
-44.6,1983,2 
-58.0,1983,3 
-63.5,1983,4 
-60.4,1983,5 
-61.9,1983,6 
-73.8,1983,7 
-67.1,1983,8 
-60.8,1983,9 
-57.4,1983,10
-45.4,1983,11
-33.2,1983,12
-32.1,1984,1 
-47.4,1984,2 
-57.2,1984,3 
-62.8,1984,4 
-61.0,1984,5 
-70.8,1984,6 
-65.5,1984,7 
-68.1,1984,8 
-63.1,1984,9 
-58.0,1984,10
-41.8,1984,11
-30.4,1984,12
-31.2,1985,1 
-46.7,1985,2 
-59.7,1985,3 
-62.2,1985,4 
-68.1,1985,5 
-66.6,1985,6 
-70.4,1985,7 
-66.3,1985,8 
-66.6,1985,9 
-58.3,1985,10
-44.7,1985,11
-32.4,1985,12
-30.8,1986,1 
-39.4,1986,2 
-59.1,1986,3 
-66.7,1986,4 
-66.7,1986,5 
-70.6,1986,6 
-68.0,1986,7 
-69.3,1986,8 
-66.3,1986,9 
-56.9,1986,10
-43.0,1986,11
-32.0,1986,12
-31.1,1987,1 
-45.7,1987,2 
-57.0,1987,3 
-64.4,1987,4 
-66.8,1987,5 
-59.7,1987,6 
-65.8,1987,7 
-75.4,1987,8 
-67.0,1987,9 
-56.2,1987,10
-45.0,1987,11
-32.5,1987,12
-31.6,1988,1 
-45.9,1988,2 
-56.2,1988,3 
-65.5,1988,4 
-63.4,1988,5 
-63.9,1988,6 
-70.6,1988,7 
-66.7,1988,8 
-65.8,1988,9 
-55.3,1988,10
-43.2,1988,11
-33.6,1988,12
-34.6,1989,1 
-45.0,1989,2 
-56.8,1989,3 
-66.5,1989,4 
-68.9,1989,5 
-68.5,1989,6 
-67.3,1989,7 
-64.7,1989,8 
-61.2,1989,9 
-54.3,1989,10
-42.6,1989,11
-28.0,1989,12
-30.4,1990,1 
-44.4,1990,2 
-59.2,1990,3 
-61.8,1990,4 
-66.8,1990,5 
-65.5,1990,6 
-66.2,1990,7 
-69.4,1990,8 
-66.0,1990,9 
-56.0,1990,10
-41.2,1990,11
-28.8,1990,12
-32.2,1991,1 
-42.0,1991,2 
-57.3,1991,3 
-62.1,1991,4 
-68.3,1991,5 
-62.3,1991,6 
-58.6,1991,7 
-67.5,1991,8 
-67.8,1991,9 
-58.9,1991,10
-42.9,1991,11
-30.4,1991,12
-32.7,1992,1 
-41.2,1992,2 
-57.3,1992,3 
-65.8,1992,4 
-66.1,1992,5 
-63.4,1992,6 
-67.8,1992,7 
-63.3,1992,8 
-67.6,1992,9 
-58.2,1992,10
-42.1,1992,11
-33.1,1992,12
-30.8,1993,1 
-43.5,1993,2 
-57.3,1993,3 
-67.0,1993,4 
-68.3,1993,5 
-68.4,1993,6 
-70.6,1993,7 
-70.7,1993,8 
-68.4,1993,9 
-55.9,1993,10
-42.5,1993,11
-33.0,1993,12
-31.0,1994,1 
     ,1994,2 
     ,1994,3 
     ,1994,4 
     ,1994,5 
     ,1994,6 
     ,1994,7 
     ,1994,8 
     ,1994,9 
     ,1994,10
     ,1994,11
-33.2,1994,12
-33.5,1995,1 
-43.6,1995,2 
-57.8,1995,3 
-65.6,1995,4 
-69.1,1995,5 
-67.6,1995,6 
-56.7,1995,7 
-67.7,1995,8 
-68.7,1995,9 
-57.6,1995,10
-42.8,1995,11
-31.9,1995,12
     ,1996,1 
     ,1996,2 
     ,1996,3 
     ,1996,4 
     ,1996,5 
     ,1996,6 
     ,1996,7 
     ,1996,8 
     ,1996,9 
     ,1996,10
     ,1996,11
     ,1996,12
-33.5,1997,1 
-44.8,1997,2 
-58.2,1997,3 
-64.4,1997,4 
-67.9,1997,5 
-64.1,1997,6 
-72.9,1997,7 
-71.5,1997,8 
-65.9,1997,9 
-58.0,1997,10
-39.7,1997,11
-30.4,1997,12
-33.6,1998,1 
-43.9,1998,2 
-60.4,1998,3 
-68.5,1998,4 
-65.5,1998,5 
-67.2,1998,6 
-66.7,1998,7 
-67.1,1998,8 
-71.8,1998,9 
-60.3,1998,10
-42.6,1998,11
-31.5,1998,12
-31.7,1999,1 
-45.2,1999,2 
-57.9,1999,3 
-70.4,1999,4 
-70.2,1999,5 
-64.6,1999,6 
-69.8,1999,7 
-67.8,1999,8 
-67.9,1999,9 
-58.7,1999,10
-43.2,1999,11
-35.1,1999,12
-33.5,2000,1 
-45.2,2000,2 
-60.9,2000,3 
-65.1,2000,4 
-68.0,2000,5 
-60.0,2000,6 
-66.7,2000,7 
-66.8,2000,8 
-66.2,2000,9 
-61.3,2000,10
-40.8,2000,11
-30.6,2000,12
-31.5,2001,1 
-43.3,2001,2 
-58.3,2001,3 
-63.1,2001,4 
-63.4,2001,5 
-66.9,2001,6 
-66.5,2001,7 
-69.1,2001,8 
-65.7,2001,9 
-56.4,2001,10
-40.6,2001,11
-30.5,2001,12
-29.0,2002,1 
-45.7,2002,2 
-56.9,2002,3 
-61.9,2002,4 
-59.4,2002,5 
-65.9,2002,6 
-64.9,2002,7 
-71.6,2002,8 
-67.8,2002,9 
-55.7,2002,10
-43.8,2002,11
-34.0,2002,12
-31.8,2003,1 
     ,2003,2 
     ,2003,3 
     ,2003,4 
     ,2003,5 
     ,2003,6 
     ,2003,7 
     ,2003,8 
     ,2003,9 
     ,2003,10
     ,2003,11
     ,2003,12
     ,2004,1 
     ,2004,2 
-57.3,2004,3 
-62.5,2004,4 
-64.4,2004,5 
-65.8,2004,6 
-70.3,2004,7 
-62.4,2004,8 
-65.9,2004,9 
-56.7,2004,10
-42.0,2004,11
-29.5,2004,12
-31.4,2005,1 
-44.6,2005,2 
-56.4,2005,3 
-65.8,2005,4 
-67.3,2005,5 
-63.7,2005,6 
-63.4,2005,7 
-68.1,2005,8 
-63.2,2005,9 
-54.9,2005,10
-42.1,2005,11
-29.2,2005,12
-32.7,2006,1 
-44.4,2006,2 
-58.2,2006,3 
-62.4,2006,4 
-66.2,2006,5 
-64.3,2006,6 
-66.9,2006,7 
-65.6,2006,8 
-64.2,2006,9 
-57.2,2006,10
-43.2,2006,11
-32.6,2006,12
-32.6,2007,1 
-45.8,2007,2 
-56.2,2007,3 
-61.9,2007,4 
-59.2,2007,5 
-59.3,2007,6 
-64.7,2007,7 
-63.8,2007,8 
-63.9,2007,9 
-55.5,2007,10
-42.5,2007,11
-32.7,2007,12
-33.3,2008,1 
-46.0,2008,2 
-54.2,2008,3 
-63.5,2008,4 
-66.7,2008,5 
-70.5,2008,6 
-65.2,2008,7 
-69.9,2008,8 
-67.8,2008,9 
-58.3,2008,10
-40.4,2008,11
-30.9,2008,12
-31.1,2009,1 
-40.4,2009,2 
-57.5,2009,3 
-67.6,2009,4 
-62.9,2009,5 
-61.7,2009,6 
-59.5,2009,7 
-67.9,2009,8 
-64.2,2009,9 
-57.1,2009,10
-40.8,2009,11
-31.7,2009,12
-30.2,2010,1 
-43.6,2010,2 
-55.7,2010,3 
-67.5,2010,4 
-64.7,2010,5 
-68.9,2010,6 
-69.4,2010,7 
-70.9,2010,8 
-65.3,2010,9 
-58.1,2010,10
-43.9,2010,11
-30.8,2010,12
-30.6,2011,1 
-42.1,2011,2 
-57.9,2011,3 
-61.3,2011,4 
-67.8,2011,5 
-68.7,2011,6 
-61.7,2011,7
-60.6,2011,8
-63.9,2011,9
-55.5,2011,10
-40.7,2011,11
-30.7,2011,12
-31.6,2012,1
-45.9,2012,2
-58.4,2012,3
-65.2,2012,4
-67.6,2012,5
-68.7,2012,6
-69.8,2012,7
-70.9,2012,8
-70.0,2012,9
-54.7,2012,10
-40.9,2012,11
     ,2012,12